Tender ID,Success,Folder Location,New Folder Location
2024_DLB_411873_1,True,\\Digitaldreams\tender auto\2024_DLB_411873_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_DLB_411873_1
2024_UITBH_412409_8,True,\\Digitaldreams\tender auto\2024_UITBH_412409_8,\\Digitaldreams\tender auto\Rejected Tenders\2024_UITBH_412409_8
2024_DLB_411995_1,True,\\Digitaldreams\tender auto\2024_DLB_411995_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_DLB_411995_1
2024_PRD_411705_1,True,\\Digitaldreams\tender auto\2024_PRD_411705_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_PRD_411705_1
2024_UAD_364540_1,True,\\Digitaldreams\tender auto\2024_UAD_364540_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_UAD_364540_1
2024_UAD_363712_1,True,\\Digitaldreams\tender auto\2024_UAD_363712_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_UAD_363712_1
2024_UAD_363709_1,True,\\Digitaldreams\tender auto\2024_UAD_363709_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_UAD_363709_1
2024_UAD_363713_1,True,\\Digitaldreams\tender auto\2024_UAD_363713_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_UAD_363713_1
2024_TNPL_472255_1,True,\\Digitaldreams\tender auto\2024_TNPL_472255_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_TNPL_472255_1
2024_CoC_472241_1,True,\\Digitaldreams\tender auto\2024_CoC_472241_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_CoC_472241_1
2024_EB_471331_1,True,\\Digitaldreams\tender auto\2024_EB_471331_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_EB_471331_1
2024_pwd_74515_1,True,\\Digitaldreams\tender auto\2024_pwd_74515_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74515_1
2024_MAD_735525_8,True,\\Digitaldreams\tender auto\2024_MAD_735525_8,\\Digitaldreams\tender auto\Rejected Tenders\2024_MAD_735525_8
2024_PTC21_74354_1,True,\\Digitaldreams\tender auto\2024_PTC21_74354_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_PTC21_74354_1
2024_ZPHD_735845_6,True,\\Digitaldreams\tender auto\2024_ZPHD_735845_6,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735845_6
2024_ZPHD_735238_1,True,\\Digitaldreams\tender auto\2024_ZPHD_735238_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735238_1
2024_ZPHD_735562_5,True,\\Digitaldreams\tender auto\2024_ZPHD_735562_5,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735562_5
2024_ZPHD_735454_1,True,\\Digitaldreams\tender auto\2024_ZPHD_735454_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735454_1
2024_ZPHD_734699_2,True,\\Digitaldreams\tender auto\2024_ZPHD_734699_2,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_734699_2
2024_ZPHD_733922_1,True,\\Digitaldreams\tender auto\2024_ZPHD_733922_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733922_1
2024_DOA_733299_7,True,\\Digitaldreams\tender auto\2024_DOA_733299_7,\\Digitaldreams\tender auto\Rejected Tenders\2024_DOA_733299_7
2024_DOA_733299_6,True,\\Digitaldreams\tender auto\2024_DOA_733299_6,\\Digitaldreams\tender auto\Rejected Tenders\2024_DOA_733299_6
2024_DOA_733299_3,True,\\Digitaldreams\tender auto\2024_DOA_733299_3,\\Digitaldreams\tender auto\Rejected Tenders\2024_DOA_733299_3
2024_ZPHD_733763_1,True,\\Digitaldreams\tender auto\2024_ZPHD_733763_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733763_1
2024_ZPHD_734556_2,True,\\Digitaldreams\tender auto\2024_ZPHD_734556_2,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_734556_2
2024_DOA_733299_9,True,\\Digitaldreams\tender auto\2024_DOA_733299_9,\\Digitaldreams\tender auto\Rejected Tenders\2024_DOA_733299_9
2024_DOA_733299_5,True,\\Digitaldreams\tender auto\2024_DOA_733299_5,\\Digitaldreams\tender auto\Rejected Tenders\2024_DOA_733299_5
2024_DMK_734175_2,True,\\Digitaldreams\tender auto\2024_DMK_734175_2,\\Digitaldreams\tender auto\Rejected Tenders\2024_DMK_734175_2
2024_ZPHD_734373_1,True,\\Digitaldreams\tender auto\2024_ZPHD_734373_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_734373_1
2024_ZPHD_733036_10,True,\\Digitaldreams\tender auto\2024_ZPHD_733036_10,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733036_10
2024_ZPHD_732312_3,True,\\Digitaldreams\tender auto\2024_ZPHD_732312_3,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_732312_3
2024_DMN_733174_43,True,\\Digitaldreams\tender auto\2024_DMN_733174_43,\\Digitaldreams\tender auto\Rejected Tenders\2024_DMN_733174_43
2024_ZPHD_733527_1,True,\\Digitaldreams\tender auto\2024_ZPHD_733527_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733527_1
2024_PWD_733530_1,True,\\Digitaldreams\tender auto\2024_PWD_733530_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_PWD_733530_1
2024_DMN_733174_45,True,\\Digitaldreams\tender auto\2024_DMN_733174_45,\\Digitaldreams\tender auto\Rejected Tenders\2024_DMN_733174_45
2024_DMN_733709_7,True,\\Digitaldreams\tender auto\2024_DMN_733709_7,\\Digitaldreams\tender auto\Rejected Tenders\2024_DMN_733709_7
2024_DMN_733174_3,True,\\Digitaldreams\tender auto\2024_DMN_733174_3,\\Digitaldreams\tender auto\Rejected Tenders\2024_DMN_733174_3
2024_PRD_414032_1,True,\\Digitaldreams\tender auto\2024_PRD_414032_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_PRD_414032_1
2024_ZPHD_733438_2,True,\\Digitaldreams\tender auto\2024_ZPHD_733438_2,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733438_2
2024_ZPHD_733557_1,True,\\Digitaldreams\tender auto\2024_ZPHD_733557_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733557_1
2024_ZPHD_733475_1,True,\\Digitaldreams\tender auto\2024_ZPHD_733475_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733475_1
2024_ZPHD_733501_1,True,\\Digitaldreams\tender auto\2024_ZPHD_733501_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733501_1
2024_ZPHD_733516_1,True,\\Digitaldreams\tender auto\2024_ZPHD_733516_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733516_1
2024_ZPHD_731478_3,True,\\Digitaldreams\tender auto\2024_ZPHD_731478_3,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_731478_3
2024_ZPHD_732298_3,True,\\Digitaldreams\tender auto\2024_ZPHD_732298_3,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_732298_3
2024_AAI_203172_1,True,\\Digitaldreams\tender auto\2024_AAI_203172_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_AAI_203172_1
2024_NHAI_205182_1,True,\\Digitaldreams\tender auto\2024_NHAI_205182_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_NHAI_205182_1
2024_BSNL_205147_1,True,\\Digitaldreams\tender auto\2024_BSNL_205147_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_BSNL_205147_1
2024_BSNL_204507_1,True,\\Digitaldreams\tender auto\2024_BSNL_204507_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_BSNL_204507_1
2024_ONGC_204724_1,True,\\Digitaldreams\tender auto\2024_ONGC_204724_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ONGC_204724_1
2024_NHAI_204965_1,True,\\Digitaldreams\tender auto\2024_NHAI_204965_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_NHAI_204965_1
2024_NHAI_204830_1,True,\\Digitaldreams\tender auto\2024_NHAI_204830_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_NHAI_204830_1
2024_NHAI_204558_1,True,\\Digitaldreams\tender auto\2024_NHAI_204558_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_NHAI_204558_1
2024_BSNL_204679_1,True,\\Digitaldreams\tender auto\2024_BSNL_204679_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_BSNL_204679_1
2024_NHAI_204444_1,True,\\Digitaldreams\tender auto\2024_NHAI_204444_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_NHAI_204444_1
2024_NHAI_204192_1,True,\\Digitaldreams\tender auto\2024_NHAI_204192_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_NHAI_204192_1
2024_NHAI_204349_1,True,\\Digitaldreams\tender auto\2024_NHAI_204349_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_NHAI_204349_1
2024_VPT_204393_1,True,\\Digitaldreams\tender auto\2024_VPT_204393_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_VPT_204393_1
2024_NHAI_204043_1,True,\\Digitaldreams\tender auto\2024_NHAI_204043_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_NHAI_204043_1
2024_NHAI_204033_1,True,\\Digitaldreams\tender auto\2024_NHAI_204033_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_NHAI_204033_1
2024_BSNL_203932_1,True,\\Digitaldreams\tender auto\2024_BSNL_203932_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_BSNL_203932_1
2024_HITE_204077_1,True,\\Digitaldreams\tender auto\2024_HITE_204077_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_HITE_204077_1
2024_CSL_205115_1,True,\\Digitaldreams\tender auto\2024_CSL_205115_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_CSL_205115_1
2024_TCIL_204314_1,True,\\Digitaldreams\tender auto\2024_TCIL_204314_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_TCIL_204314_1
GEM_2024_B_5199914,True,\\Digitaldreams\tender auto\GEM_2024_B_5199914,\\Digitaldreams\tender auto\Rejected Tenders\GEM_2024_B_5199914
2024_UITUD_414014_1,True,\\Digitaldreams\tender auto\2024_UITUD_414014_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_UITUD_414014_1
2024_PRD_413916_24,True,\\Digitaldreams\tender auto\2024_PRD_413916_24,\\Digitaldreams\tender auto\Rejected Tenders\2024_PRD_413916_24
2024_MAWS_473921_29,True,\\Digitaldreams\tender auto\2024_MAWS_473921_29,\\Digitaldreams\tender auto\Rejected Tenders\2024_MAWS_473921_29
2024_DLB_413136_1,True,\\Digitaldreams\tender auto\2024_DLB_413136_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_DLB_413136_1
2024_RDTN_473840_1,True,\\Digitaldreams\tender auto\2024_RDTN_473840_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_RDTN_473840_1
2024_RDTN_473830_1,True,\\Digitaldreams\tender auto\2024_RDTN_473830_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_RDTN_473830_1
2024_RDTN_473826_1,True,\\Digitaldreams\tender auto\2024_RDTN_473826_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_RDTN_473826_1
2024_RDTN_473800_1,True,\\Digitaldreams\tender auto\2024_RDTN_473800_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_RDTN_473800_1
2024_RDTN_473787_1,True,\\Digitaldreams\tender auto\2024_RDTN_473787_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_RDTN_473787_1
2024_PRD_412965_1,True,\\Digitaldreams\tender auto\2024_PRD_412965_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_PRD_412965_1
2024_MEDIC_413562_6,True,\\Digitaldreams\tender auto\2024_MEDIC_413562_6,\\Digitaldreams\tender auto\Rejected Tenders\2024_MEDIC_413562_6
2024_TNHB_473585_1,True,\\Digitaldreams\tender auto\2024_TNHB_473585_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_TNHB_473585_1
2024_RDTN_473643_1,True,\\Digitaldreams\tender auto\2024_RDTN_473643_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_RDTN_473643_1
2024_DLB_412593_3,True,\\Digitaldreams\tender auto\2024_DLB_412593_3,\\Digitaldreams\tender auto\Rejected Tenders\2024_DLB_412593_3
2024_RDTN_472782_1,True,\\Digitaldreams\tender auto\2024_RDTN_472782_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_RDTN_472782_1
2024_MEDIC_412250_4,True,\\Digitaldreams\tender auto\2024_MEDIC_412250_4,\\Digitaldreams\tender auto\Rejected Tenders\2024_MEDIC_412250_4
2024_CEPWD_412236_1,True,\\Digitaldreams\tender auto\2024_CEPWD_412236_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_CEPWD_412236_1
2024_PRD_412093_1,True,\\Digitaldreams\tender auto\2024_PRD_412093_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_PRD_412093_1
2024_DLB_411875_1,True,\\Digitaldreams\tender auto\2024_DLB_411875_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_DLB_411875_1
2024_PRD_411356_1,True,\\Digitaldreams\tender auto\2024_PRD_411356_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_PRD_411356_1
2024_SIPCT_469729_1,True,\\Digitaldreams\tender auto\2024_SIPCT_469729_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_SIPCT_469729_1
2024_UAD_362166_1,True,\\Digitaldreams\tender auto\2024_UAD_362166_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_UAD_362166_1
2024_RES_362834_1,True,\\Digitaldreams\tender auto\2024_RES_362834_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_RES_362834_1
2024_MEDIC_412237_8,True,\\Digitaldreams\tender auto\2024_MEDIC_412237_8,\\Digitaldreams\tender auto\Rejected Tenders\2024_MEDIC_412237_8
2024_pwd_74578_1,True,\\Digitaldreams\tender auto\2024_pwd_74578_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74578_1
2024_pwd_74536_1,True,\\Digitaldreams\tender auto\2024_pwd_74536_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74536_1
2024_pwd_74442_1,True,\\Digitaldreams\tender auto\2024_pwd_74442_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74442_1
2024_pwd_74423_1,True,\\Digitaldreams\tender auto\2024_pwd_74423_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74423_1
2024_pwd_74421_1,True,\\Digitaldreams\tender auto\2024_pwd_74421_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74421_1
2024_ZPHD_729714_3,True,\\Digitaldreams\tender auto\2024_ZPHD_729714_3,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_729714_3
2024_pwd_74446_1,True,\\Digitaldreams\tender auto\2024_pwd_74446_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74446_1
2024_pwd_74650_1,True,\\Digitaldreams\tender auto\2024_pwd_74650_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74650_1
2024_pwd_74640_1,True,\\Digitaldreams\tender auto\2024_pwd_74640_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74640_1
2024_pwd_74638_1,True,\\Digitaldreams\tender auto\2024_pwd_74638_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74638_1
2024_pwd_74636_1,True,\\Digitaldreams\tender auto\2024_pwd_74636_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74636_1
2024_pwd_74664_1,True,\\Digitaldreams\tender auto\2024_pwd_74664_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74664_1
2024_pwd_74659_1,True,\\Digitaldreams\tender auto\2024_pwd_74659_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_pwd_74659_1
2024_ZPHD_735734_3,True,\\Digitaldreams\tender auto\2024_ZPHD_735734_3,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735734_3
2024_ZPHD_735710_4,True,\\Digitaldreams\tender auto\2024_ZPHD_735710_4,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735710_4
2024_ZPHD_735426_6,True,\\Digitaldreams\tender auto\2024_ZPHD_735426_6,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735426_6
2024_ZPHD_735564_12,True,\\Digitaldreams\tender auto\2024_ZPHD_735564_12,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735564_12
2024_GCITA_735648_1,True,\\Digitaldreams\tender auto\2024_GCITA_735648_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_GCITA_735648_1
2024_ZPHD_733876_4,True,\\Digitaldreams\tender auto\2024_ZPHD_733876_4,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733876_4
2024_ZPHD_735439_2,True,\\Digitaldreams\tender auto\2024_ZPHD_735439_2,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735439_2
2024_ZPHD_726646_8,True,\\Digitaldreams\tender auto\2024_ZPHD_726646_8,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_726646_8
2024_ZPHD_734904_33,True,\\Digitaldreams\tender auto\2024_ZPHD_734904_33,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_734904_33
2024_ZPHD_735082_1,True,\\Digitaldreams\tender auto\2024_ZPHD_735082_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735082_1
2024_ZPHD_735384_1,True,\\Digitaldreams\tender auto\2024_ZPHD_735384_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735384_1
2024_ZPHD_735040_1,True,\\Digitaldreams\tender auto\2024_ZPHD_735040_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735040_1
2024_ZPHD_734443_5,True,\\Digitaldreams\tender auto\2024_ZPHD_734443_5,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_734443_5
2024_ZPHD_734318_4,True,\\Digitaldreams\tender auto\2024_ZPHD_734318_4,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_734318_4
2024_ZPHD_734095_3,True,\\Digitaldreams\tender auto\2024_ZPHD_734095_3,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_734095_3
2024_ZPHD_734665_2,True,\\Digitaldreams\tender auto\2024_ZPHD_734665_2,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_734665_2
2024_ZPHD_734192_6,True,\\Digitaldreams\tender auto\2024_ZPHD_734192_6,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_734192_6
2024_ZPHD_734025_6,True,\\Digitaldreams\tender auto\2024_ZPHD_734025_6,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_734025_6
2024_ZPHD_733585_1,True,\\Digitaldreams\tender auto\2024_ZPHD_733585_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733585_1
2024_WBSPH_733165_1,True,\\Digitaldreams\tender auto\2024_WBSPH_733165_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_WBSPH_733165_1
2024_ZPHD_733300_1,True,\\Digitaldreams\tender auto\2024_ZPHD_733300_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733300_1
2024_ZPHD_733000_8,True,\\Digitaldreams\tender auto\2024_ZPHD_733000_8,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733000_8
2024_DMN_733174_9,True,\\Digitaldreams\tender auto\2024_DMN_733174_9,\\Digitaldreams\tender auto\Rejected Tenders\2024_DMN_733174_9
2024_ZPHD_733146_2,True,\\Digitaldreams\tender auto\2024_ZPHD_733146_2,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733146_2
2024_ZPHD_733617_1,True,\\Digitaldreams\tender auto\2024_ZPHD_733617_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733617_1
2024_ZPHD_733462_4,True,\\Digitaldreams\tender auto\2024_ZPHD_733462_4,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733462_4
2024_ZPHD_732918_3,True,\\Digitaldreams\tender auto\2024_ZPHD_732918_3,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_732918_3
2024_ZPHD_732070_5,True,\\Digitaldreams\tender auto\2024_ZPHD_732070_5,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_732070_5
2024_ZPHD_732070_10,True,\\Digitaldreams\tender auto\2024_ZPHD_732070_10,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_732070_10
2024_ZPHD_732070_2,True,\\Digitaldreams\tender auto\2024_ZPHD_732070_2,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_732070_2
2024_ZPHD_732070_21,True,\\Digitaldreams\tender auto\2024_ZPHD_732070_21,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_732070_21
2024_ZPHD_732070_25,True,\\Digitaldreams\tender auto\2024_ZPHD_732070_25,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_732070_25
2024_ZPHD_732070_9,True,\\Digitaldreams\tender auto\2024_ZPHD_732070_9,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_732070_9
2024_ZPHD_732070_6,True,\\Digitaldreams\tender auto\2024_ZPHD_732070_6,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_732070_6
2024_AAI_205093_1,True,\\Digitaldreams\tender auto\2024_AAI_205093_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_AAI_205093_1
2024_BSNL_204952_1,True,\\Digitaldreams\tender auto\2024_BSNL_204952_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_BSNL_204952_1
2024_NHAI_205014_1,True,\\Digitaldreams\tender auto\2024_NHAI_205014_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_NHAI_205014_1
2024_BSNL_204663_1,True,\\Digitaldreams\tender auto\2024_BSNL_204663_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_BSNL_204663_1
2024_ONGC_204056_1,True,\\Digitaldreams\tender auto\2024_ONGC_204056_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ONGC_204056_1
2024_ONGC_204084_1,True,\\Digitaldreams\tender auto\2024_ONGC_204084_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ONGC_204084_1
2024_AAI_203204_1,True,\\Digitaldreams\tender auto\2024_AAI_203204_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_AAI_203204_1
2024_BARC_821326_1,True,\\Digitaldreams\tender auto\2024_BARC_821326_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_BARC_821326_1
2024_NCSM_821592_1,True,\\Digitaldreams\tender auto\2024_NCSM_821592_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_NCSM_821592_1
2024_CHD_81947_1,True,\\Digitaldreams\tender auto\2024_CHD_81947_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_CHD_81947_1
2024_CHD_81951_1,True,\\Digitaldreams\tender auto\2024_CHD_81951_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_CHD_81951_1
2024_ZPHD_735506_9,True,\\Digitaldreams\tender auto\2024_ZPHD_735506_9,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735506_9
2024_ZPHD_735506_1,True,\\Digitaldreams\tender auto\2024_ZPHD_735506_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735506_1
2024_ZPHD_735776_1,True,\\Digitaldreams\tender auto\2024_ZPHD_735776_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_735776_1
2024_ZPHD_732274_17,True,\\Digitaldreams\tender auto\2024_ZPHD_732274_17,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_732274_17
2024_ZPHD_733868_1,True,\\Digitaldreams\tender auto\2024_ZPHD_733868_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733868_1
2024_ZPHD_733859_5,True,\\Digitaldreams\tender auto\2024_ZPHD_733859_5,\\Digitaldreams\tender auto\Rejected Tenders\2024_ZPHD_733859_5
2024_BSNL_204530_1,True,\\Digitaldreams\tender auto\2024_BSNL_204530_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_BSNL_204530_1
2024_BSNL_204525_1,True,\\Digitaldreams\tender auto\2024_BSNL_204525_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_BSNL_204525_1
2024_UAD_363717_1,True,\\Digitaldreams\tender auto\2024_UAD_363717_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_UAD_363717_1
