,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
1312,GEM/2024/B/5762806,"PRESSURE ROLLER 1007,TEFLON SL...",12,2024-12-30 12:02,2025-01-20 13:00,Ministry of Defence Department of Military Affairs,"PRESSURE ROLLER 1007,TEFLON SLEEVE 1007,DVD WRITER ASUS,SMPS OPTIPLEX DELL 9010,LAN CARD,POWER SUPP"
1897,GEM/2024/B/5768875,Custom Bid for Services - AMC ...,1,2024-12-31 15:29,2025-01-21 16:00,Ministry of Agriculture and Farmers Welfare Department of Agricultural Research and Education (DARE),Custom Bid for Services - AMC of Computers LAN WAN
1902,GEM/2024/B/5768875,Custom Bid for Services - AMC ...,1,2024-12-31 15:29,2025-01-21 16:00,Ministry of Agriculture and Farmers Welfare Department of Agricultural Research and Education (DARE),Custom Bid for Services - AMC of Computers LAN WAN
2045,GEM/2024/B/5726847,LAN POINTS & WI-FI CONNECTIVIT...,1,2024-12-30 17:20,2025-01-22 11:00,Ministry of Education Department of Higher Education,LAN POINTS & WI-FI CONNECTIVITY WORK
2089,GEM/2025/B/5771512,"DVD WRITER,UPS 1KVA,BTY12V 7AH...",17,2025-01-01 12:29,2025-01-22 13:00,Ministry of Defence Department of Military Affairs,"DVD WRITER,UPS 1KVA,BTY12V 7AH,LAN CARD,INK PAD WASTE,KEY BOARD,MONITOR,MOUSE"
2211,GEM/2024/B/5609192,Custom Bid for Services - AIAM...,1,2025-01-01 16:59,2025-01-22 17:00,Ministry of Defence Department of Defence,Custom Bid for Services - AIAMC of Internet LAN
2242,GEM/2025/B/5773719,"RAM DDR IV 8GB,MOTHER BOARD H ...",49,2025-01-01 20:14,2025-01-22 21:00,Ministry of Defence Department of Military Affairs,"RAM DDR IV 8GB,MOTHER BOARD H 110,EXPRESS LAN CARD,MONITER,MAINTENANCE BOX EP-C9345,PRESSURE ROLLER"
2347,GEM/2025/B/5775098,"BTY 12V 7AH,GRAPHIC CARD 4 GB,...",52,2025-01-02 12:12,2025-01-23 13:00,Ministry of Defence Department of Military Affairs,"BTY 12V 7AH,GRAPHIC CARD 4 GB,GRAPHIC CARD 2 GB,DVD WRITER SLIM,KEYBOARD WITH MOUSE,LAN CARD,PROCES"
2354,GEM/2025/B/5775098,"BTY 12V 7AH,GRAPHIC CARD 4 GB,...",52,2025-01-02 12:12,2025-01-23 13:00,Ministry of Defence Department of Military Affairs,"BTY 12V 7AH,GRAPHIC CARD 4 GB,GRAPHIC CARD 2 GB,DVD WRITER SLIM,KEYBOARD WITH MOUSE,LAN CARD,PROCES"
2464,GEM/2025/B/5777876,"Printer Head,Ink Ssytem,LAN Ca...",21,2025-01-02 18:46,2025-01-23 19:00,Ministry of Defence Department of Military Affairs,"Printer Head,Ink Ssytem,LAN Card,UPS,BTY Small,SSD 480 GB,SSD 512 GB,UPS Intex 600V,Fuser Assy,Prin"
2683,GEM/2024/B/5769606,Custom Bid for Services - AMC ...,1,2025-01-03 16:13,2025-01-24 17:00,Ministry of Defence Department of Defence Production,Custom Bid for Services - AMC FOR  OFC LAN NETWORK FOR INTERNET AND INTRANET
2691,GEM/2024/B/5769606,Custom Bid for Services - AMC ...,1,2025-01-03 16:13,2025-01-24 17:00,Ministry of Defence Department of Defence Production,Custom Bid for Services - AMC FOR  OFC LAN NETWORK FOR INTERNET AND INTRANET
2705,GEM/2025/B/5780394,"Camera,8K NVR,Hard Disk,Outdoo...",767,2025-01-03 18:19,2025-01-24 19:00,Ministry of Culture NA,"Camera,8K NVR,Hard Disk,Outdoor Cable,Indoor Cable,LAN Switch,POE Switch,2 KVA UPS,1KVA UPS,6U Rack"
2824,GEM/2024/B/5672610,"LAN Point with IDC and SM Box,...",1990,2025-01-04 13:53,2025-01-25 14:00,Ministry of Defence Department of Military Affairs,"LAN Point with IDC and SM Box,Cat6-Patch cord 2 mtr,Cat6-Patch cord 1 mtr,Cat6 Patch Panel 48 Port,"
2841,GEM/2024/B/5672610,"LAN Point with IDC and SM Box,...",1990,2025-01-04 13:53,2025-01-25 14:00,Ministry of Defence Department of Military Affairs,"LAN Point with IDC and SM Box,Cat6-Patch cord 2 mtr,Cat6-Patch cord 1 mtr,Cat6 Patch Panel 48 Port,"
3046,GEM/2025/B/5784143,"Teflon Sleeve,Heat Roller,LAN ...",6,2025-01-05 12:30,2025-01-27 13:00,Ministry of Defence Department of Military Affairs,"Teflon Sleeve,Heat Roller,LAN Card D Link,OPC Drum,Cleaning Blade"
3053,GEM/2025/B/5784143,"Teflon Sleeve,Heat Roller,LAN ...",6,2025-01-05 12:30,2025-01-27 13:00,Ministry of Defence Department of Military Affairs,"Teflon Sleeve,Heat Roller,LAN Card D Link,OPC Drum,Cleaning Blade"
3282,GEM/2025/B/5781515,LAN Network restructuring and ...,1,2025-01-07 14:53,2025-01-28 11:00,Ministry of Defence Department of Defence Production,LAN Network restructuring and supply and installation of switch AS PER ANNEXURE I
3456,GEM/2025/B/5792751,Fluke Digital Multimeter 6000 ...,70,2025-01-08 09:10,2025-01-29 10:00,Ministry of Defence Department of Military Affairs,"Fluke Digital Multimeter 6000 Counts,Kit of Crimping Too LAN tester Stripper 105 Pcs Connectors Scr"
3518,GEM/2025/B/5794423,"KEYBOARD AND MOUSE,UPS 1KAV,UP...",44,2025-01-08 13:56,2025-01-29 14:00,Ministry of Defence Department of Military Affairs,"KEYBOARD AND MOUSE,UPS 1KAV,UPS 600VA,UPS BTY 12V 7AH,DVD WRITER SLIM,MONITOR,RAM DDR IV 4GB,LAN CA"
3576,GEM/2025/B/5796058,"Key bd set,DVD writer inter,Mo...",27,2025-01-08 19:16,2025-01-29 20:00,Ministry of Defence Department of Military Affairs,"Key bd set,DVD writer inter,Mother bd i5,Processore i5,Processore fan,Sata cable,Lan Card"
3756,GEM/2025/B/5800500,08 port managed LAN Switch kin...,709,2025-01-09 15:29,2025-01-30 16:00,Ministry of Information and Broadcasting Ministry of Information and Broadcasting,"08 port managed LAN Switch kindky refer as per tender document,SFP Trans receiver modules kindky re"
3786,GEM/2025/B/5801529,"External DVD Writter,DVD Writt...",25,2025-01-09 17:32,2025-01-30 18:00,Ministry of Defence Department of Military Affairs,"External DVD Writter,DVD Writter Slim,Bty 12 V 4.5 AH,RAM 8 GB,USB Lan Card,Mother Board,Bty 12 V 7"
3789,GEM/2025/B/5801719,"Bty 12 V 7AH,Lan Card,Head Cab...",12,2025-01-09 17:56,2025-01-30 18:00,Ministry of Defence Department of Military Affairs,"Bty 12 V 7AH,Lan Card,Head Cable 3110,SMPS,Drum Unit NPG 67,Head Cable TVS,Printer Head Black,Print"
3964,GEM/2025/B/5785135,Lan Points & WI-FI Connectivit...,1,2025-01-09 15:40,2025-01-31 16:00,Ministry of Education Department of Higher Education,Lan Points & WI-FI Connectivity work
3981,GEM/2025/B/5805663,"IO BOX RJ-45 PUNCHING PORT,RJ-...",1071,2025-01-10 16:57,2025-01-31 17:00,Ministry of Labour and Employment NA,"IO BOX RJ-45 PUNCHING PORT,RJ-45 LAN CONNECTOR NO,CASING PATTEY WALL FITTING,RJ-45 Patch cord D-LIN"
4017,GEM/2025/B/5808075,"Hand Gloves for Recovery Use,O...",33,2025-01-10 18:34,2025-01-31 19:00,Ministry of Defence Department of Military Affairs,"Hand Gloves for Recovery Use,Optical Fiber Cable Tester with LAN Tester,Wire Stripper,Laptop Screw "
4067,GEM/2025/B/5792504,26 dBi 5 GHz airMAX AC Long Ra...,5,2025-01-11 11:59,2025-02-01 12:00,Ministry of Defence Department of Military Affairs,"26 dBi 5 GHz airMAX AC Long Range CPE,Dish Anteena,POE,powar cable,Lan cable 1 Mtr"
4163,GEM/2024/B/5620627,"LAN Point with IDC and SM Box,...",8399,2024-12-20 11:59,2025-02-03 12:00,Ministry of Defence Department of Military Affairs,"LAN Point with IDC and SM Box,Cat6-Patch cord 2 mtr,Cat6-Patch cord 1 mtr,Cat6 Patch Panel 24 Port,"
4306,GEM/2025/B/5811448,"DC Regulator Power Supply,DP t...",5,2025-01-11 20:13,2025-02-03 21:00,Ministry of Defence Department of Military Affairs,"DC Regulator Power Supply,DP to HDMI Connector,HDMI 4 Port Spliter,LAN Tester,Plastic Container 10 "
4380,GEM/2024/B/5748009,Fresh Purchase of Wireless LAN...,14539,2024-12-24 18:30,2025-02-04 16:00,Ministry of Finance Department of Financial Services,"Fresh Purchase of Wireless LAN Controller,Fresh Purchase of Access Points,Fresh Purchase of Core Sw"
4386,GEM/2024/B/5751468,"Customised Workstation,LAN Wir...",6226,2025-01-14 16:34,2025-02-04 17:00,Ministry of Defence Department of Military Affairs,"Customised Workstation,LAN Wiring and electrification of all work stations,3D Design Drop Ceiling,C"
4415,GEM/2025/B/5820529,"HDMI Cbale 30 Mtr,HDMI Cable 1...",15,2025-01-15 09:35,2025-02-05 10:00,Ministry of Defence Department of Defence,"HDMI Cbale 30 Mtr,HDMI Cable 15 mtr,USB to Giga LAN Connector,HDTV Switch 3 to 1 with remote,VGA to"
4440,GEM/2025/B/5821863,"Mother board H110,Mother Board...",28,2025-01-15 12:14,2025-02-05 13:00,Ministry of Defence Department of Military Affairs,"Mother board H110,Mother Board H310,Lan Card Small,Ram DDR IV 8Gb,Bty 12V 7AH,Pressure Roller,Teflo"
4546,GEM/2025/B/5822266,"CD Writer,Slim CD Writer,Monit...",27,2025-01-15 18:20,2025-02-06 09:00,Ministry of Defence Department of Military Affairs,"CD Writer,Slim CD Writer,Moniter,UPS Bty 12V 7AH,Lan Card,Toggle Switch"
