,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
11,2025_DLG_133352_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Moga,"EE, PWSSD, MOGA","Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Jaitu District Faridkot for Distribution Network under AMRUT 2.0 Scheme (Part-1)",2025-01-23 13:00,2025-02-13 17:00,556000,2025-02-03 13:00,27808413,10-02-2025 03:33:56,PBTenders GOV NICGEP BOT
12,2025_DLG_133352_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Moga,"EE, PWSSD, MOGA","Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Jaitu District Faridkot for Distribution Network under AMRUT 2.0 Scheme (Part-1)",2025-01-23 13:00,2025-02-13 17:00,556000,2025-02-03 13:00,27808413,10-02-2025 03:34:14,PBTenders GOV NICGEP BOT
13,2025_DLG_133334_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Hoshiarpur,Hoshiarpur,Providing Tap Connections to Consumers Extension and Augmentation of Water Supply System at Hariana Distt. Hoshiarpur for distribution Network and installation of Tubewell under AMRUT 2.0 Scheme Part 1,2025-01-22 16:35,2025-02-17 15:00,748000,2025-01-31 13:00,37396070,10-02-2025 03:34:31,PBTenders GOV NICGEP BOT
14,2025_DLG_133329_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Hoshiarpur,Hoshiarpur,Providing Tap Connections to Consumers Extension and Augmentation of Water Supply System at Shamchaurasi Distt. Hoshiarpur for distribution Network and installation of Tubewell under AMRUT 2.0 Scheme Part1,2025-01-22 16:10,2025-02-17 15:00,294000,2025-01-31 13:00,14700188,10-02-2025 03:34:50,PBTenders GOV NICGEP BOT
15,2025_DLG_133330_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Patiala-I,Patiala,"Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Rajpura District Patiala for Distribution Network under AMRUT 2.0 Scheme Part 1",2025-01-22 16:00,2025-02-24 16:00,2425000,2025-02-03 11:00,242454000,10-02-2025 03:35:08,PBTenders GOV NICGEP BOT
16,2025_DLG_133326_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Hoshiarpur,Hoshiarpur,Providing Tap Connections to Consumers Extension and Augmentation of Water Supply System at Talwara Distt. Hoshiarpur for distribution Network under AMRUT 2.0 Scheme Part 1,2025-01-22 15:45,2025-02-17 15:00,201000,2025-01-31 13:00,10048845,10-02-2025 03:35:26,PBTenders GOV NICGEP BOT
17,2025_DLG_133323_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Hoshiarpur,Hoshiarpur,Providing Tap Connections to Consumers Extension and Augmentation of Water Supply System at Garhdiwala Distt. Hoshiarpur for distribution Network under AMRUT 2.0 Scheme Part 1,2025-01-22 15:30,2025-02-10 15:00,120000,,5982192,10-02-2025 03:35:47,PBTenders GOV NICGEP BOT
18,2025_DLG_133310_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Hoshiarpur,Hoshiarpur,Providing Tap Connections to Consumers Extension and Augmentation of Water Supply System at Urmar Tanda Distt. Hoshiarpur for distribution Network and installation of Tubewell under AMRUT 2.0 Scheme Part 1,2025-01-22 13:50,2025-02-17 15:00,779000,2025-01-31 13:00,77887713,10-02-2025 03:36:04,PBTenders GOV NICGEP BOT
19,2025_DLG_133308_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Hoshiarpur,Hoshiarpur,Providing Tap Connections to Consumers Extension and Augmentation of Water Supply System at Dasuya Distt. Hoshiarpur for distribution Network under AMRUT 2.0 Scheme Part 1,2025-01-22 13:35,2025-02-17 15:00,720000,2025-01-31 13:00,71992132,10-02-2025 03:36:22,PBTenders GOV NICGEP BOT
20,2025_DLG_133292_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Ferozpur,Ferpzepur,"Providing Tap Connections and Distribution Network by Augmentation and Rehabilitation of Water Supply System, Construction of New OHSR 1.50 Lakh Gallon, Rehabilitation of Pumping station Lightning Arrestor on existing OHSR at Arniwala Sheikh Subhan",2025-01-22 13:00,2025-02-24 17:00,1146000,,NA,10-02-2025 03:36:41,PBTenders GOV NICGEP BOT
21,2025_DLG_133292_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Ferozpur,Ferpzepur,"Providing Tap Connections and Distribution Network by Augmentation and Rehabilitation of Water Supply System, Construction of New OHSR 1.50 Lakh Gallon, Rehabilitation of Pumping station Lightning Arrestor on existing OHSR at Arniwala Sheikh Subhan",2025-01-22 13:00,2025-02-24 17:00,1146000,,NA,10-02-2025 03:36:59,PBTenders GOV NICGEP BOT
22,2025_DLG_133302_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Ferozpur,Ferozepur,"Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Zira District Ferozepur for Distribution Network, Installation of Tube wells and Construction of 2.0 Lakh Gallon OHSR under AMRUT 2.0 Scheme, Part-1, Phase-1",2025-01-22 13:00,2025-02-13 17:00,868000,,NA,10-02-2025 03:37:17,PBTenders GOV NICGEP BOT
23,2025_DLG_133297_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Hoshiarpur,Hoshiarpur,Providing Tap Connections to Consumers Extension and Augmentation of Water Supply System at Garhshankar Distt. Hoshiarpur for distribution Network under AMRUT 2.0 Scheme Part 1,2025-01-22 12:45,2025-02-17 15:00,583000,2025-01-31 13:00,58260321,10-02-2025 03:37:36,PBTenders GOV NICGEP BOT
24,2025_PAU_133171_3,Punjab Agricultural University||PAU - Ludhiana||Store Purchase Organisation,Store Purchase Organisation,"Purchase of Networking Equipment/Components, Department of Electrical Engineering and Information Technology",2025-01-20 17:00,2025-02-13 11:00,9000,,450000,10-02-2025 03:37:54,PBTenders GOV NICGEP BOT
25,2025_DLG_132924_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Ropar,Kiratpur Sahib,"Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Kiratpur Sahib District Roopnagar for Distribution Network and Installation of Tube well under AMRUT 2.0 Scheme Part-1",2025-01-16 12:00,2025-02-10 15:00,630000,2025-01-20 11:00,31476000,10-02-2025 03:38:11,PBTenders GOV NICGEP BOT
26,2024_IC_131814_1,Department of Industries and Commerce||Punjab Small Industries And Export Corporation||Division - Chandigarh,Industrial Estate Malerkotla,Laying of water supply network system at Industrial Estate Malerkotla,2024-12-24 16:00,2025-02-13 11:00,155000,,7747909,10-02-2025 03:38:30,PBTenders GOV NICGEP BOT
